Temp,Year
19.41,1950
19.3428,1951
22.7377,1952
21.7689,1953
21.7416,1954
20.1084,1955
21.6388,1956
19.2207,1957
23.4353,1958
22.046,1959
19.6976,1960
20.2747,1961
21.9979,1962
21.2156,1963
22.0596,1964
18.726,1965
20.2439,1966
20.375,1967
21.2904,1968
21.6886,1969
22.8451,1970
23.3466,1971
20.4903,1972
22.5258,1973
22.7606,1974
21.0544,1975
20.7216,1976
22.1772,1977
22.2052,1978
22.8234,1979
23.4625,1980
22.6124,1981
21.094,1982
19.021,1983
22.3283,1984
21.6968,1985
21.6092,1986
21.8214,1987
23.2295,1988
20.2563,1989
21.2646,1990
20.5152,1991
19.9273,1992
21.6325,1993
20.3414,1994
20.0073,1995
22.0081,1996
19.9341,1997
22.8289,1998
23.2143,1999
24.0088,2000
22.5681,2001
23.1135,2002
22.7893,2003
23.8518,2004
21.5074,2005
22.5519,2006
24.3705,2007
21.8502,2008
21.516,2009
24.6826,2010
21.8318,2011
21.7783,2012
22.0156,2013
22.0136,2014
23.0622,2015
24.0184,2016
